Country,Financial,Humanitarian,Military
United States,15.18,9.49,27.65
EU institutions,12.32,1.42,2.5
United Kingdom,2.55,0.37,3.74
Germany,1.15,0.95,1.2
Canada,1.81,0.3,0.93
Poland,1.02,0.1,1.82
Norway,1.03,0.04,0.32
France,0.8,0.13,0.22
Italy,0.51,0.03,0.15
Japan,0.61,0.01,0
Austria,0.01,0.55,0
Netherlands,0.35,0.03,0.17
Sweden,0.14,0.09,0.27
Denmark,0.05,0.04,0.3
Czechia,0,0.11,0.28
Spain,0.2,0.09,0.06
Latvia,0.02,0,0.3
Australia,0,0.05,0.25
Estonia,0,0.01,0.26
Portugal,0.25,0,0.01
Lithuania,0.01,0.05,0.19
Belgium,0,0.12,0.1
Slovakia,0,0.01,0.21
Finland,0.08,0.05,0.03
Greece,0,0,0.16
Switzerland,0,0.1,0
South Korea,0,0.09,0
Ireland,0,0.07,0
Luxembourg,0,0,0.05
Hungary,0,0.05,0
Turkey,0,0,0.04
Slovenia,0,0,0.05
Croatia,0,0.01,0.02
New Zealand,0,0,0.01
Taiwan,0,0.01,0
Romania,0,0.01,0
