Country,Oil_Import,Poverty_Estimate
Slovakia,78.4,4.3
Lithuania,68.8,3.0
Poland,67.5,1.3
Finland,66.8,1.3
Hungary,44.6,0.2
Romania,32.8,1.8
Estonia,32.0,3.7
Germany,29.7,0.4
Czechia,29.1,3.5
Greece,26.3,2.5
Belgium,22.2,2.3
Netherlands,21.0,1.7
Latvia,20.3,2.9
Denmark,14.9,1.4
France,13.3,0.7
Sweden,12.9,0.6
Italy,12.5,1.3
United Kingdom,12.2,
Slovenia,8.9,2.2
Bulgaria,8.0,2.9
Austria,5.8,0.1
Spain,5.6,1.3
Ireland,4.7,0.5
Portugal,4.0,1.2
Cyprus,1.2,0.1
Croatia,,1.7
Luxembourg,,0.1
Malta,,0.1
