Year,Spending_Ukraine,Spending_Russia,Ratio_Russia,Ratio_Ukraine
2000,0.7,9.23,,
2001,0.74,11.68,,
2002,0.87,13.94,,
2003,1.1,16.97,,
2004,1.32,20.96,,
2005,1.69,27.34,,
2006,2.1,34.52,,
2007,2.88,43.53,,
2008,3.39,56.18,,
2009,2.32,51.53,,
2010,2.59,58.72,3.59,1.9
2011,2.5,70.24,3.43,1.53
2012,2.84,81.47,3.69,1.61
2013,2.9,88.35,3.85,1.58
2014,3.0,84.7,4.11,2.25
2015,2.96,66.42,4.87,3.25
2016,2.94,69.25,5.43,3.15
2017,3.25,66.91,4.25,2.88
2018,4.17,61.61,3.69,3.19
2019,5.42,65.2,3.83,3.52
2020,5.92,61.71,4.26,4.13
2021,5.94,65.91,,
1993,,7.77,,
1994,,13.55,,
1995,,12.74,,
1996,,15.83,,
1997,,17.58,,
1998,,7.96,,
1999,,6.47,,
