Date,Positive,Negative,Difficult_to_say,,,,,,
1998-12-01,79,14,7,,,,,,
1999-12-01,78,15,8,,,,,,
2000-07-01,71,23,6,,,,,,
2001-12-01,71,23,7,,,,,,
2002-10-01,64,27,9,,,,,,
2003-10-01,71,21,8,,,,,,
2004-02-01,67,25,7,,,,,,
2005-02-01,72,22,7,,,,,,
2006-02-01,50,40,10,,,,,,
2007-02-01,61,29,11,,,,,,
2008-02-01,50,36,14,,,,,,
2009-03-01,41,49,9,,,,,,
2010-03-01,60,28,13,,,,,,
2011-04-01,70,20,11,,,,,,
2012-03-01,65,24,11,,,,,,
2013-03-01,69,22,9,,,,,,
2014-03-01,63,25,12,,,,,,
2015-03-01,31,56,13,,,,,,
2016-03-01,25,64,11,,,,,,
2017-03-01,33,56,11,,,,,,
2018-03-01,33,55,12,,,,,,
2019-02-01,34,56,10,,,,,,
2019-09-01,56,31,13,,,,,,
2020-01-01,41,47,11,,,,,,
2020-08-01,48,43,8,,,,,,
2021-02-01,55,31,13,,,,,,
2021-08-01,39,49,12,,,,,,
2022-02-01,35,52,13,,,,,,
2022-03-01,30,57,13,,,,,,
