tid,tweet,keyword,polarity,subjectivity,sentiment,neg,neu,pos,compound
T1,RT CityLab Russian attacks damaged hundreds buildings monuments central Ukraine identity heritage Ukrainians,ukraine war,0,0.125,negative,0.345,0.655,0,-0.7003
T2,US sees war crimes Russia Ukraine Washington AFP Russians murdered tortured kidnapped Ukrainians systematic pattern could implicate top officials war crimes US State Department ambassador,ukraine war,0.5,0.5,negative,0.42,0.532,0.048,-0.9432
T3,RT nytimes Videos surfaced social media last week ignited debate whether Ukrainian forces committed war crimes,ukraine war,0.016666667,0.066666667,negative,0.195,0.7,0.105,-0.4215
T4,RT KimDotcom No one support Ukraine Jens Stoltenberg Secretary General NATO He meant say Russia Freudian slip,ukraine war,0.05,0.5,positive,0.111,0.754,0.136,0.128
T5,JustinTrudeau After Ukraine lied origins missile hit Poland last week I longer support giving money They could started world war,ukraine war,0,0.066666667,negative,0.244,0.564,0.192,-0.34
T6,Millions lives risk winter bites Ukraine Kyiv Ukraine AFP Millions Ukrainian lives risk winter country power grid struggles barrage Russian attacks World health Organization warned,ukraine war,0,0,negative,0.369,0.631,0,-0.8658
T7,RT JosepBorrellF Last week Black Sea Grain Initiative extended This good news withdrawal Russian troops,ukraine war,0.133333333,0.275,positive,0,0.765,0.235,0.4588
T8,RT Yonigussie World Largest War Hundreds Thousands Killed In Tigray Russia invasion Ukraine preoccupied world,ukraine war,-0.2,0,negative,0.393,0.607,0,-0.8555
T9,AFTER apes IS JOINING NFT IN MIAMI ArtBaselMiami NFT Russia Ukraine war,ukraine war,0,0,negative,0.262,0.738,0,-0.5994
T10,RT Aliyujari IsuphJt ishakaa sarnchos cabeecroft MuhTyme If new World Order emerges,ukraine war,0.136363636,0.454545455,neutral,0,1,0,0
T11,The Ukraine war money laundering scandal Hunters laptop Russian disinformation Hillary campaign behind Russian collusion oh sooooo many,ukraine war,0.025,0.3,negative,0.298,0.702,0,-0.7783
T12,RT MaxBoot Republicans accuse Biden appeasement major diplomatic victories Bali China expressed opposition,ukraine war,0.0625,0.5,negative,0.13,0.87,0,-0.2023
T13,If wondered war wonder longer It guy,ukraine war,0,0,negative,0.394,0.606,0,-0.5994
T14,RT SeifGebre World deadly war last year Ukraine Tigray thousands dead,ukraine war,-0.133333333,0.288888889,negative,0.477,0.523,0,-0.8481
T15,RT shashj Russia mass child abduction remains one biggest horrors war Katia remembers rushing,ukraine war,0,0,negative,0.509,0.491,0,-0.9081
T16,RT hand HMMWV vehicles Ukraine said Minister Defense Luxembourg This,ukraine war,0,0,positive,0,0.63,0.37,0.5719
T17,RT TheStanislawski Lots things happened next The annexation Crimea start war Donbas new elections,ukraine war,0.068181818,0.227272727,negative,0.231,0.769,0,-0.5994
T18,RT ZaidZamanHamid Almost Indian Military hardware Russian origin India deploys war strategies Russia,ukraine war,-0.05,0.05,negative,0.245,0.755,0,-0.5994
T19,RT MCapanzzi Vladimir Putin ordered imprisoned critic Alexei Navalny locked inside dog pen isolation cube shut,ukraine war,0,0,negative,0.375,0.625,0,-0.7783
T20,RepLisaMcClain They shut student loan repayments taxation without representation ukraine war worse thing taxation without representation stop funding Its stealing every single michigan tax payer,ukraine war,-0.235714286,0.407142857,negative,0.207,0.64,0.153,-0.4149
T21,RT KyivIndependent police help Ukraine investigate Russian war crimes Spain send police units Ukraine,ukraine war,0,0,negative,0.21,0.645,0.145,-0.296
T22,RT KyivIndependent police help Ukraine investigate Russian war crimes Spain send police units Ukraine,ukraine war,0,0,negative,0.21,0.645,0.145,-0.296
T23,RT GlasnostGone Norway signed agreement provide funding almost million help Ukraine purchase natural gas,ukraine war,0.1,0.4,positive,0,0.575,0.425,0.7976
T24,RT IuliiaMendel Spanish PM Pedro Sanchez sent loud message Putin plenary session NATO PA Madrid Leave Ukraine,ukraine war,0.05,0.4,negative,0.07,0.93,0,-0.0516
T25,RT andrewmichta Most European debates war Ukraine fail address Putin confident invasion would,ukraine war,0.125,0.408333333,negative,0.367,0.479,0.153,-0.6666
T26,RT NEW Yura never thought war would touch peaceful life Kyiv Then Russia invasion Ukraine,ukraine war,0.193181818,0.477272727,positive,0,0.672,0.328,0.7466
T27,WarCrimesIntl UN UN sponsored military action NATO war War Terror US war NATO NATO never war friends Russia Rape Murder Kill thousands Daily Not mention theft Ukraine assets people,ukraine war,0,0.066666667,negative,0.633,0.337,0.03,-0.989
T28,RT JuliaDavisNews Meanwhile Russia accused war criminal Zakhar spends lot time frontlines previously,ukraine war,-0.283333333,0.358333333,negative,0.487,0.513,0,-0.8591
T29,RT sumlenny The Marshall plan European states suffered German invasion goal rebuild,ukraine war,0,0,negative,0.225,0.775,0,-0.4939
T30,RT GlasnostGone Thanks Russia genocidal invasion Ukraine facing largest attack healthcare European soil since,ukraine war,0.1,0.1,negative,0.172,0.667,0.161,-0.0516
T31,RT khjelmgaard World deadly war last year Ukraine Tigray region Ethiopia,ukraine war,-0.1,0.233333333,negative,0.281,0.719,0,-0.5994
T32,RT If fascist Russia suffers even serious defeats Ukraine could spell end Putin dictatorship,ukraine war,-0.466666667,0.683333333,negative,0.507,0.493,0,-0.8519
T33,RT KimDotcom No one support Ukraine Jens Stoltenberg Secretary General NATO He meant say Russia Freudian slip,ukraine war,0.05,0.5,positive,0.111,0.754,0.136,0.128
T34,RT I keep hearing European values I also seen Ukraine love Nazism formidable,ukraine war,0.25,0.3,positive,0,0.566,0.434,0.7845
T35,We remember Russian war Ukraine start February courage Ukrainian people prevail,ukraine war,0,0,negative,0.242,0.559,0.199,-0.1779
T36,RT Tigray Eritrea Ethiopia civil war killed people war Ukraine yet,ukraine war,-0.2,0,negative,0.606,0.394,0,-0.9231
T37,RT chenweihua NATO members like say Russia unprovoked war Ukraine NATO totally innocent But would use,ukraine war,0.5,0.7,positive,0.129,0.683,0.189,0.0378
T38,RT LvivJournal On left ruzZian soldiers sleeping train station days war putin western putinists,ukraine war,0,0,negative,0.231,0.769,0,-0.5994
T39,RT racism heal kills UNITY WhiteSupremacy never ends well BlackLivesMatter,ukraine war,0,0,negative,0.574,0.426,0,-0.856
T40,Russia Ukraine War News Ukraine news Aid pledged Moldova hurt war More Twitter Ukraine News Links Ukraine UkraineWar UkraineNews RussiaWar WarNews,ukraine war,0.5,0.5,negative,0.384,0.616,0,-0.9042
T41,build attack drones Ukraine war help Iran CNN UkraineWar StandWithUkraine UkraineRussiaWar Ukraine StopRussiaNOW RussiaIsATerroristState russiaisaterrorisstate,ukraine war,0,0,negative,0.323,0.553,0.124,-0.6486
T42,RT econundertow Quickly pushing Russians Ukraine effectively ends war The alternative debilitating,ukraine war,0.466666667,0.65,negative,0.232,0.595,0.173,-0.25
T43,RT WhiteHouse At Leaders Summit Bali Indonesia President Biden work partners address key challenges,ukraine war,0,1,positive,0,0.909,0.091,0.0772
T44,RT chenweihua NATO members like say Russia unprovoked war Ukraine NATO totally innocent But would use,ukraine war,0.5,0.7,positive,0.129,0.683,0.189,0.0378
T45,RT nimvalar Zidorov SlushHQ Can show protest People acting war explicitly leaving,ukraine war,0,0,negative,0.371,0.629,0,-0.7096
T46,RT Russia borrows largest ever debt issuance single day,ukraine war,-0.071428571,0.214285714,negative,0.238,0.762,0,-0.3612
T47,RT Captured Ukraine militants Luckily hand Russian soldiers following law war,ukraine war,0.111111111,0.311111111,positive,0.212,0.435,0.353,0.3818
T48,RT khjelmgaard World deadly war last year Ukraine Tigray region Ethiopia,ukraine war,-0.1,0.233333333,negative,0.281,0.719,0,-0.5994
T49,RT KyivIndependent police help Ukraine investigate Russian war crimes Spain send police units Ukraine,ukraine war,0,0,negative,0.21,0.645,0.145,-0.296
