date,personnel,POW
2022-02-25,2800,0.0
2022-02-26,4300,0.0
2022-02-27,4500,0.0
2022-02-28,5300,0.0
2022-03-01,5710,200.0
2022-03-02,5840,200.0
2022-03-03,9000,200.0
2022-03-04,9166,200.0
2022-03-05,10000,216.0
2022-03-06,11000,232.0
2022-03-07,11000,259.0
2022-03-08,12000,284.0
2022-03-09,12000,360.0
2022-03-10,12000,371.0
2022-03-11,12000,389.0
2022-03-12,12000,389.0
2022-03-13,12000,389.0
2022-03-14,12000,389.0
2022-03-15,13500,389.0
2022-03-16,13800,389.0
2022-03-17,14000,405.0
2022-03-18,14200,405.0
2022-03-19,14400,405.0
2022-03-20,14700,405.0
2022-03-21,15000,405.0
2022-03-22,15300,411.0
2022-03-23,15600,412.0
2022-03-24,15800,412.0
2022-03-25,16100,412.0
2022-03-26,16400,412.0
2022-03-27,16600,421.0
2022-03-28,17000,421.0
2022-03-29,17200,430.0
2022-03-30,17300,430.0
2022-03-31,17500,459.0
2022-04-01,17700,459.0
2022-04-02,17700,460.0
2022-04-03,18000,460.0
2022-04-04,18300,460.0
2022-04-05,18500,467.0
2022-04-06,18600,467.0
2022-04-07,18900,467.0
2022-04-08,19000,467.0
2022-04-09,19100,467.0
2022-04-10,19300,467.0
2022-04-11,19500,467.0
2022-04-12,19600,477.0
2022-04-13,19800,477.0
2022-04-14,19900,477.0
2022-04-15,20000,477.0
2022-04-16,20100,477.0
2022-04-17,20300,477.0
2022-04-18,20600,477.0
2022-04-19,20800,489.0
2022-04-20,20900,489.0
2022-04-21,21000,489.0
2022-04-22,21200,489.0
2022-04-23,21600,489.0
2022-04-24,21800,489.0
2022-04-25,21900,489.0
2022-04-26,22100,489.0
2022-04-27,22400,496.0
2022-04-28,22800,0.0
2022-04-29,23000,0.0
2022-04-30,23200,0.0
2022-05-01,23500,0.0
2022-05-02,23800,0.0
2022-05-03,24200,0.0
2022-05-04,24500,0.0
2022-05-05,24700,0.0
2022-05-06,24900,0.0
2022-05-07,25100,0.0
2022-05-08,25500,0.0
2022-05-09,25650,0.0
2022-05-10,26000,0.0
2022-05-11,26350,0.0
2022-05-12,26650,0.0
2022-05-13,26900,0.0
2022-05-14,27200,0.0
2022-05-15,27400,0.0
2022-05-16,27700,0.0
2022-05-17,27900,0.0
2022-05-18,28300,0.0
2022-05-19,28500,0.0
2022-05-20,28700,0.0
2022-05-21,28850,0.0
2022-05-22,29050,0.0
2022-05-23,29200,0.0
2022-05-24,29350,0.0
2022-05-25,29450,0.0
2022-05-26,29600,0.0
2022-05-27,29750,0.0
2022-05-28,30000,0.0
2022-05-29,30150,0.0
2022-05-30,30350,0.0
2022-05-31,30500,0.0
2022-06-01,30700,0.0
2022-06-02,30850,0.0
2022-06-03,30950,0.0
2022-06-04,31050,0.0
2022-06-05,31150,0.0
2022-06-06,31250,0.0
2022-06-07,31360,0.0
2022-06-08,31500,0.0
2022-06-09,31700,0.0
2022-06-10,31900,0.0
2022-06-11,32050,0.0
2022-06-12,32150,0.0
2022-06-13,32300,0.0
2022-06-14,32500,0.0
2022-06-15,32750,0.0
2022-06-16,32950,0.0
2022-06-17,33150,0.0
2022-06-18,33350,0.0
2022-06-19,33600,0.0
2022-06-20,33800,0.0
2022-06-21,34100,0.0
2022-06-22,34230,0.0
2022-06-23,34430,0.0
2022-06-24,34530,0.0
2022-06-25,34700,0.0
2022-06-26,34850,0.0
2022-06-27,35000,0.0
2022-06-28,35250,0.0
2022-06-29,35450,0.0
2022-06-30,35600,0.0
2022-07-01,35750,0.0
2022-07-02,35870,0.0
2022-07-03,35970,0.0
